,p1,p2,p3,p4,p5,p6,y,pred_probability_01,pred_probability_02,pred_probability_03,pred_probability_04,pred_probability_05,pred_probability_06,pred_probability_07,pred_probability_08,pred_class_01,pred_class_02,pred_class_03,pred_class_04,pred_class_05,pred_class_06,pred_class_07,pred_class_08
1212,-3.2906887946940016,-3.2858768893840336,0.6601822576023303,1.2424370948863315,-0.2580087746520155,0.03786916600507931,1,0.9898544861830253,0.980899835705249,0.9897978328778441,0.4860549613072081,0.9981838758177466,0.9977989788514744,0.9795006233661455,0.9883290594112822,1,1,1,0,1,1,1,1
1213,-7.479112017074715,-0.20784928299013783,-1.3831554893674,-0.7593926574036867,2.000976925831651,0.11112103354435685,0,0.16779650851065225,0.04862849808031894,0.01735995644778837,0.36681144084673073,0.06630100136698756,0.009911968754556716,0.02503713788281787,0.00519435764970349,0,0,0,0,0,0,0,0
1214,1.7007800328410756,0.026408651832174203,2.3352216674486845,2.016073863543502,0.04636098629352679,-0.362480697837353,1,0.8707757388575192,0.8436609340181115,0.6835064303845276,0.6060379178996127,0.8736475221430433,0.9070013025535958,0.9068768734704623,0.47862770026845336,1,1,1,1,1,1,1,0
1215,-0.09548489418140818,0.7805450780784088,-0.2601368276877597,1.1901742186693531,-0.5855607699089483,0.2846309519035823,0,0.5110370962087413,0.44100873066753643,0.3845527488679847,0.48790757025573805,0.2879861360747144,0.31533674870105854,0.49706485522773325,0.3843556510048707,1,0,0,0,0,0,0,0
1216,-4.407662659120697,1.6196198833762752,-0.23997678885722065,-0.2838071178402565,-0.8093547600007551,0.8862809331117181,0,0.15299173340929162,0.1414569607887346,0.0582438060348738,0.3428320661356573,0.10892286054288447,0.05199011485646343,0.2654720925002113,0.09154792922066715,0,0,0,0,0,0,0,0
1217,1.3274327146292033,7.171666632232164,0.1333651968173914,1.332045588235887,0.32401238694078976,0.6773678811676236,0,0.0008818949601975544,0.0008336689174448406,0.0005874805427940112,0.666018379488452,1.7662907330890345e-12,1.9176888447312118e-13,0.00032811062785518364,0.0006136010369743936,0,0,0,1,0,0,0,0
1218,11.923809455616208,6.262335199798287,-0.312131722575326,2.0814669411420788,-1.326807631971631,0.7773139169460487,0,0.02072880563753468,0.0013227759977253045,0.0640067699708097,0.8510773378981484,6.443600010408073e-05,4.883589370718986e-08,0.02286533965714761,0.11207984631672513,0,0,0,1,0,0,0,0
1219,-8.17643990917118,-3.4474376433686444,-3.9983188287877525,-1.3942037650269554,0.1313376591618482,-0.29689465009011035,1,0.6992711095763495,0.8200881144325213,0.7966184467074464,0.34409842890567305,0.8009656359066196,0.9787161813075881,0.8300468609181625,0.8067284150427331,1,1,1,0,1,1,1,1
1220,-4.119634409315296,1.7733850812592993,-0.861894412661451,1.2172847019784083,-0.8352547504788418,-0.9854992390719005,0,0.04464543055216073,0.0007998541806109506,7.669013043239383e-06,0.41422087651937833,0.05141623762282984,0.049109729706073274,0.010453145796288163,2.859637239755139e-05,0,0,0,0,0,0,0,0
1221,14.28882339723101,-4.043001061323195,-1.9506735674201927,0.8715521399702918,-0.6387412840758604,1.5582709864004975,1,0.999788828288963,0.9999742384492781,0.999832615363493,0.9866413442067179,0.9999998872078834,0.9999999325148042,0.9992279421116702,0.9994480239870993,1,1,1,1,1,1,1,1
1222,-5.943344359600095,0.784565021193962,2.5149584648392476,2.369502893159616,-1.3148393363229904,0.529817694302079,1,0.7225157540868735,0.9884697636587874,0.9994293558261887,0.8920749062780976,0.6965757664217421,0.907795925179036,0.7754708518406329,0.9961191226223242,1,1,1,1,1,1,1,1
1223,-0.1003192478110701,-5.152754609037532,-0.9838817118135065,0.4863867477064845,-0.24585258998188822,-1.0092824275136552,1,0.9959172002533495,0.9999271561322753,0.9999971656176405,0.33288792077266866,0.9999918769188652,0.9999799919054057,0.9996895895713773,0.9999906408518938,1,1,1,0,1,1,1,1
1224,-3.7867376489073887,-7.192779017152406,1.1834237999748214,1.1803309184183475,-0.19862146368138048,0.466156703725916,1,0.9999425052874595,0.9997480305166662,0.9997584501320685,0.5721440430806789,0.9999999999999998,1.0,0.9995967096480763,0.9992856915614091,1,1,1,1,1,1,1,1
1225,7.318839702614615,7.692589297769226,-0.10517351099003726,0.08275510825787223,0.702443104267853,-1.3659618785316914,0,0.00010391423027554198,2.3560378374168423e-07,6.055425540249419e-07,0.5765733605131205,9.433089558055697e-19,1.3991728795341487e-21,1.089141609299747e-06,1.300455478963514e-06,0,0,0,1,0,0,0,0
1226,-4.427499096895415,1.7808443129678404,-1.1459808795906603,-0.8135493138307645,1.5287524784103101,0.2466960522281449,0,0.03562083954694718,0.028893462620056334,0.014831187857918177,0.11368141907279382,0.02576275112961911,0.0072915223909320115,0.008602164409788424,0.004796169856425684,0,0,0,0,0,0,0,0
1227,-5.092968168152906,0.7921322094495282,1.575239821882715,-2.1089318578261107,-0.6122234513656031,-0.2725874025427513,0,0.1243147027495038,0.0322935024639464,0.16509104389491752,0.20172136653591902,0.14643669771156287,0.08845760122062056,0.05921381745542794,0.05087343330854007,0,0,0,0,0,0,0,0
1228,2.6330107707068513,-6.339626079618074,-0.7492547983526553,0.33489725055818376,-0.2773168546219461,0.2210099611075728,1,0.9997860525872256,0.9999949385724296,0.9999989873806572,0.5510088689960904,0.9999999855837522,0.9999999838550384,0.9999813293255589,0.9999982875993809,1,1,1,1,1,1,1,1
1229,-3.33381513557011,4.2247599656472605,-0.9497576597805659,0.4495611195553025,0.6874851313770631,-0.9363050791782588,0,0.0016513529362715633,1.390092849255619e-05,1.3466598566137002e-06,0.24765058386698033,0.00016432557535626716,3.481275745934493e-05,5.276134499157249e-05,1.6116836586748027e-07,0,0,0,0,0,0,0,0
1230,3.3875119479340174,6.649026606642604,-1.9872093429067006,-1.2812854347889808,1.974221153467608,0.3226863675346005,0,0.0002082160166048863,0.001226329856366408,5.034970578362474e-05,0.2643525747031693,2.6491367549071193e-14,1.7723425619466185e-17,2.1529024363628096e-07,5.957634168996701e-08,0,0,0,0,0,0,0,0
1231,0.8253748348996706,-0.4669901497116925,7.433434008221557,-5.018110285295209,1.3707887196010242,-1.8015677629247562,1,0.4624826536641295,0.9541122309184842,0.9914884184720226,0.999076866426206,0.8377417349804449,0.9081129237566363,0.9067967727477776,0.9999999993420814,0,1,1,1,1,1,1,1
